titulo,tipo,lugar,distrito,fecha_inicio,fecha_fin,url
Talleres creativos en idioma serbio,CURSOS Y TALLERES,Biblioteca Pública Municipal Iván de Vargas (Centro),CENTRO,domingo 22 de septiembre de 2024,domingo 22 de junio de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Talleres-creativos-en-idioma-serbio/?vgnextfmt=default&vgnextoid=394cdaa14d721910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Tertulias en Inglés (infantil) Biblioteca Vallecas,CURSOS Y TALLERES,Biblioteca Pública Municipal Vallecas (Puente de Vallecas),PUENTE DE VALLECAS,miércoles 25 de septiembre de 2024,miércoles 11 de junio de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Tertulias-en-Ingles-infantil-Biblioteca-Vallecas/?vgnextfmt=default&vgnextoid=eec46c112bc41910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Club de lectura (infantil) Biblioteca David Gistau,"CLUBES DE LECTURA, 
            
            CURSOS Y TALLERES",Biblioteca Pública Municipal David Gistau (Salamanca),SALAMANCA,lunes 30 de septiembre de 2024,lunes 9 de junio de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Club-de-lectura-infantil-Biblioteca-David-Gistau/?vgnextfmt=default&vgnextoid=0c4bf9ea99e61910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Taller de cómic (Infantil) Biblioteca Pozo del Tío Raimundo,CURSOS Y TALLERES,Biblioteca Pública Municipal Pozo del Tío Raimundo (Puente de Vallecas),PUENTE DE VALLECAS,lunes 30 de septiembre de 2024,lunes 2 de junio de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Taller-de-comic-Infantil-Biblioteca-Pozo-del-Tio-Raimundo/?vgnextfmt=default&vgnextoid=fbc06ac373051910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Club de lectura (infantil) Biblioteca San Fermín,"CLUBES DE LECTURA, 
            
            CURSOS Y TALLERES",Biblioteca Pública Municipal San Fermín (Usera),USERA,miércoles 2 de octubre de 2024,miércoles 18 de junio de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Club-de-lectura-infantil-Biblioteca-San-Fermin/?vgnextfmt=default&vgnextoid=6304ee4e073b2910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Taller de ajedrez avanzado (Infantil-juvenil) Biblioteca Gabriel Gª Márquez,CURSOS Y TALLERES,Biblioteca Pública Municipal Gabriel García Márquez (Usera),USERA,miércoles 2 de octubre de 2024,miércoles 11 de junio de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Taller-de-ajedrez-avanzado-Infantil-juvenil-Biblioteca-Gabriel-G-Marquez/?vgnextfmt=default&vgnextoid=3e7958cef3391910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Taller de juegos (infantil) Biblioteca Francisco Ayala,CURSOS Y TALLERES,Biblioteca Pública Municipal Francisco Ayala (Vicálvaro),VICALVARO,miércoles 2 de octubre de 2024,miércoles 28 de mayo de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Taller-de-juegos-infantil-Biblioteca-Francisco-Ayala/?vgnextfmt=default&vgnextoid=3bce32fa46a61910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Ludoteca en Centro Sociocultural El Greco,Sin tipo,Centro Sociocultural El Greco (Latina),LATINA,viernes 4 de octubre de 2024,sábado 28 de junio de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Ludoteca-en-Centro-Sociocultural-El-Greco/?vgnextfmt=default&vgnextoid=4a5029ae67e9e810VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Ludoteca en Centro Cultural José Luis Sampedro,Sin tipo,Centro Cultural José Luis Sampedro (Latina),LATINA,viernes 4 de octubre de 2024,sábado 28 de junio de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Ludoteca-en-Centro-Cultural-Jose-Luis-Sampedro/?vgnextfmt=default&vgnextoid=88f129ae67e9e810VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Ludoteca en Centro Sociocultural Almirante Churruca,Sin tipo,Centro Sociocultural Almirante Churruca (Latina),LATINA,viernes 4 de octubre de 2024,sábado 28 de junio de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Ludoteca-en-Centro-Sociocultural-Almirante-Churruca/?vgnextfmt=default&vgnextoid=eb0e29ae67e9e810VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Ludoteca en Centro Cultural Fernando de los Ríos,Sin tipo,Centro Cultural Fernando de los Ríos (Latina),LATINA,viernes 4 de octubre de 2024,sábado 28 de junio de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Ludoteca-en-Centro-Cultural-Fernando-de-los-Rios/?vgnextfmt=default&vgnextoid=c62cdfaf0ae9e810VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
