título,descripción,edad,inscripción,periodicidad,día_días,horario,fecha,lugar_nombre,lugar_dirección,precio,recomendación,url_ampliar_info,url_actividad
HOP!,Los Absurdos Teatro nos traen un paseo teatralizado por la historia del Circo Price.,sus anécdotas y su importancia como centro cultural del Madrid de los últimos 150 años,No especificada,No especificada,No especificado,a las 11 horas,"20 de abril, 18 de mayo y 15 de junio de 2025.",Teatro Circo Price,"RONDA ATOCHA, 35 28012 MADRID",No especificado,Recomendado para niñas y niños,No disponible,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/HOP-/?vgnextfmt=default&vgnextoid=95698cdcd77d5910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
"Fiesta de pijamas para peluches, muñecas y muñecos. ¡Fin de semana en la Biblioteca!","¿Quieres saber qué haría tu peluche o muñeco/a favorito/a en la Biblioteca, cuando cierre al público, todo el fin de semana?",Para niñas y niños hasta 14 años,Inscripciones en el mostrador de la biblioteca,No especificada,"lunes, viernes",No especificado,Del lunes 21 de abril de 2025 al viernes 25 de abril de 2025,Biblioteca Pública Municipal Francisco Ayala (Vicálvaro),"BULEVAR INDALECIO PRIETO, 21 28032 MADRID",Gratuito,Recomendado para niñas y niños,No disponible,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Fiesta-de-pijamas-para-peluches-munecas-y-munecos-Fin-de-semana-en-la-Biblioteca-/?vgnextfmt=default&vgnextoid=cac159ad2a006910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Campamentos urbanos de verano 2025. Distrito Arganzuela,"Se realizarán actividades de ocio lúdico-educativas, incluyendo los servicios de desayuno y comida. La actividad será gratuita y se ofertarán 240 plazas durante el mes de julio y 150 plazas durante los días de junio y 180 plazas por centro durante el mes de agosto y septiembre. En total 1.170 plazas durante todo el verano.",Niños y niñas de 4 años a 12 años,No especificada,No especificada,domingo,30 a 9 horas: horario de acogida,De junio a agosto de 2025,Colegio Público Plácido Domingo,"CALLE TEJO, 5 28045 MADRID",Gratuito,Recomendado para niñas y niños,No disponible,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Campamentos-urbanos-de-verano-2025-Distrito-Arganzuela/?vgnextfmt=default&vgnextoid=0f5297c7fe556910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Actividad familiar: JUEGOS DE ROL,"El día 23 de abril celebramos el día del Libro con unos emocionantes JUEGOS DE ROL, destinados a niñas y niños de 6 a 15 años, y de 16 años en adelante",de 6 a 15 años,Inscríbete en este enlace,No especificada,miércoles,a las 17 horas,Miércoles 23 de abril de 2025,Biblioteca Pública Municipal Gerardo Diego (Villa de Vallecas),"CALLE MONTE AYA, 12 28031 MADRID",Gratuito,Recomendado para niñas y niños,No disponible,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Actividad-familiar-JUEGOS-DE-ROL/?vgnextfmt=default&vgnextoid=f8913e06256f5910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Presentación del libro La bamda y el cuadro siberiano,De María Jesús Rodriguez Costa.,a partir de 6 años,No especificada,No especificada,miércoles,a las 17:30 horas,Miércoles 23 de abril de 2025,Centro Cultural Huerta de la Salud (Hortaleza),"CALLE MAR DE LAS ANTILLAS, 8 MADRID",Gratuito,Recomendado para niñas y niños,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Actividades-en-el-Centro-Cultural-Huerta-de-la-Salud/?vgnextfmt=default&vgnextoid=0d3923f64f68d610VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Presentacion-del-libro-La-bamda-y-el-cuadro-siberiano/?vgnextfmt=default&vgnextoid=ef9c901b5b516910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
'¿Tu mono quiere un plátano?',Sin descripción,Paula Sánchez Arévalo fue bailarina con el Nederland DansTheater de los Países Bajos durante 17 años,No especificada,No especificada,miércoles,a las 18 horas,Miércoles 23 de abril de 2025,Biblioteca Pública Municipal Eugenio Trías. Casa de Fieras de El Retiro (Retiro),"PASEO FERNÁN NÚÑEZ, 24 MADRID",Gratuito,Recomendado para niñas y niños,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Cuentacuentos-del-21-al-27-de-abril/?vgnextfmt=default&vgnextoid=e08d8f8c825d9810VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/-Tu-mono-quiere-un-platano-/?vgnextfmt=default&vgnextoid=d795dbca8c516910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Taller especial 'Día del Libro',"El miércoles 23 de abril os invitamos a nuestro TALLER ESPECIAL DÍA DEL LIBRO, donde podreis disfrutar del cuento ""Los fantásticos libros voladores del Sr. Morris Lessmore"" y además aprender a hacer tus propias agendas y marcapáginas.",a partir de 4 años,No especificada,No especificada,miércoles,a las 17 horas,Miércoles 23 de abril de 2025,Biblioteca Pública Municipal Manuel Vázquez Montalbán (Tetuán),"CALLE FRANCOS RODRIGUEZ, 67 28039 MADRID",Gratuito,Recomendado para niñas y niños,No disponible,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Taller-especial-Dia-del-Libro-/?vgnextfmt=default&vgnextoid=ec37cf89a0436910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Lectura pública del Quijote para niños y mayores,Horarios: de 11 a 12 horas y de 16:30 a 18:30 horas,No especificada,No especificada,No especificada,miércoles,de 16:30 a 18:30 horas,Miércoles 23 de abril de 2025,Sin lugar,Sin dirección,Gratuito,Recomendado para niñas y niños,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/IV-Feria-del-libro-de-Arganzuela-2025/?vgnextfmt=default&vgnextoid=8ccf469921be5910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Lectura-publica-del-Quijote-para-ninos-y-mayores/?vgnextfmt=default&vgnextoid=a3c4aa4735436910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Obra literaria infantil: La tierra de Jauja,"Honzigera y Panarizo, dos ladrones hambrientos, deciden asaltar a Mendrugo, un labrador que lleva comida a su esposa en la cárcel. Con astucia, engañan a Mendrugo hablándole sobre la fantástica Tierra de Jauja, un lugar utópico donde la comida abunda y está prohibido trabajar. Aprovechando la distracción de Mendrugo, Honzigera se zambulle en la cazuela de buñuelos, devorando rápidamente todo el manjar. Mendrugo, desconcertado, comprende que esa tierra es sólo una ilusión y que la felicidad no proviene de promesas ficticias. Quedando solo, y sin nada, se culpa a sí mismo por haber creído en fantasías, aprendiendo de la lección.",No especificada,No especificada,No especificada,miércoles,a las 12:30 horas,Miércoles 23 de abril de 2025,Sin lugar,Sin dirección,Gratuito,Recomendado para niñas y niños,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/IV-Feria-del-libro-de-Arganzuela-2025/?vgnextfmt=default&vgnextoid=8ccf469921be5910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Obra-literaria-infantil-La-tierra-de-Jauja/?vgnextfmt=default&vgnextoid=00d4aa4735436910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Coro de la Unión de Actores y Actrices,Sin descripción,No especificada,No especificada,No especificada,miércoles,a las 19 horas,Miércoles 23 de abril de 2025,Centro Cultural Galileo (Chamberí),"CALLE GALILEO, 39 MADRID",Gratuito,Recomendado para niñas y niños,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Programacion-Cultural-Chamberi/?vgnextfmt=default&vgnextoid=5ea6daba65bc4910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Coro-de-la-Union-de-Actores-y-Actrices/?vgnextfmt=default&vgnextoid=66853e785acc5910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
'El secreto mejor guardado del mundo',"Duendes, tesoros, aventuras, misterios... Las bibliotecas están llenas de historias que cuenteros y cuenteras nos acercan a través de su creatividad y su magia.",a partir de 4 años,Para asistir es necesario realizar inscripción previa en este enlace.,No especificada,miércoles,a las 18 horas,Miércoles 23 de abril de 2025,Biblioteca Pública Municipal Francisco Ayala (Vicálvaro),"BULEVAR INDALECIO PRIETO, 21 MADRID",Gratuito,Recomendado para niñas y niños,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Cuentacuentos-del-21-al-27-de-abril/?vgnextfmt=default&vgnextoid=e08d8f8c825d9810VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/-El-secreto-mejor-guardado-del-mundo-/?vgnextfmt=default&vgnextoid=809418a6826f5910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
'El secreto de los cuentos',"Duendes, tesoros, aventuras, misterios... Las bibliotecas están llenas de historias que cuenteros y cuenteras nos acercan a través de su creatividad y su magia.",a partir de 3 años,No especificada,No especificada,miércoles,a las 18 horas,Miércoles 23 de abril de 2025,Biblioteca Pública Municipal José Saramago (Fuencarral-El Pardo),"AVENIDA MONFORTE DE LEMOS, 38 MADRID",Gratuito,Recomendado para niñas y niños,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Cuentacuentos-del-21-al-27-de-abril/?vgnextfmt=default&vgnextoid=e08d8f8c825d9810VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/-El-secreto-de-los-cuentos-/?vgnextfmt=default&vgnextoid=bddb8cc2f36f5910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
'Historias con cosquillas',"Duendes, tesoros, aventuras, misterios... Las bibliotecas están llenas de historias que cuenteros y cuenteras nos acercan a través de su creatividad y su magia.",a partir de 4 años,No especificada,No especificada,miércoles,a las 18 horas,Miércoles 23 de abril de 2025,Biblioteca Pública Municipal Benito Pérez Galdós (Centro),"CALLE CONDE DUQUE, 9 MADRID",Gratuito,Recomendado para niñas y niños,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Cuentacuentos-del-21-al-27-de-abril/?vgnextfmt=default&vgnextoid=e08d8f8c825d9810VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/-Historias-con-cosquillas-/?vgnextfmt=default&vgnextoid=8c5d8cc2f36f5910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
'El espíritu Aloha' de Beatriz M. Cassy,"La biblioteca se llena de paz y amor gracias a Beatriz M. Cassy, autora del encantador libro infantil El espíritu Aloha. Estará con nosotras para una sesión de cuentacuentos y la presentación de su obra. Este evento promete ser una experiencia mágica que transportará a los niños a las hermosas playas hawaianas a través de acuarelas delicadas y una narrativa envolvente.",a partir de 6 años,"Planta baja, Sala de Exposiciones BPara asistir es necesario realizar inscripción previa a través de este enlace (hasta el 20 de abril).. Para asistir es necesario realizar inscripción previa a través de este enlace (hasta el 20 de abril).",No especificada,miércoles,a las 18 horas,Miércoles 23 de abril de 2025,Biblioteca Pública Municipal Francisco Ibáñez (Chamartín),"CALLE MANTUANO, 51 MADRID",Gratuito,Recomendado para niñas y niños,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Cuentacuentos-del-21-al-27-de-abril/?vgnextfmt=default&vgnextoid=e08d8f8c825d9810VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/-El-espiritu-Aloha-de-Beatriz-M-Cassy/?vgnextfmt=default&vgnextoid=3a1c5f33314d2910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
"'Cuantos lejanos, historias cercanas'",Para celebrar el día del libro narraremos cuatro historias donde nuestros protagonistas serán niños de distintas partes del mundo.Aprenderemos como viven y cuales son sus costumbres y después realizaremos una actividad convirtiendo a los participantes en protagonistas de un juego y creando un clima que los enganche y un ambiente favorecedor para el manejo de los libros.,No especificada,Inscríbete en este enlace,No especificada,miércoles,a las 18 horas,Miércoles 23 de abril de 2025,Biblioteca Pública Municipal Gloria Fuertes (Barajas),"AVENIDA LOGROÑO, 179 MADRID",Gratuito,Recomendado para niñas y niños,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Cuentacuentos-del-21-al-27-de-abril/?vgnextfmt=default&vgnextoid=e08d8f8c825d9810VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/-Cuantos-lejanos-historias-cercanas-/?vgnextfmt=default&vgnextoid=cd9326d754016910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
