titulo,url,tipo,fechas,lugar
Ludoteca en Centro Sociocultural Rosario Acuña,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Ludoteca-en-Centro-Sociocultural-Rosario-Acuna/?vgnextfmt=default&vgnextoid=109ddfaf0ae9e810VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,Sin tipo,"Del sábado 5 de octubre de 2024
al sábado 28 de junio de 2025",Centro Sociocultural Rosario de Acuña (Latina). LATINA
Ludotecas en Centro Sociocultural Latina,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Ludotecas-en-Centro-Sociocultural-Latina/?vgnextfmt=default&vgnextoid=59c61197cb41f810VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,Sin tipo,"Del sábado 5 de octubre de 2024
al sábado 28 de junio de 2025",Sin lugar
Taller de cómic (juvenil) Biblioteca Iván de Vargas,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Taller-de-comic-juvenil-Biblioteca-Ivan-de-Vargas/?vgnextfmt=default&vgnextoid=fb9a63238a0b3910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,CURSOS Y TALLERES,"Del sábado 5 de octubre de 2024
al sábado 7 de junio de 2025",Biblioteca Pública Municipal Iván de Vargas (Centro). CENTRO
Taller de juegos (infantil) Biblioteca Gabriel Gª Márquez,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Taller-de-juegos-infantil-Biblioteca-Gabriel-G-Marquez/?vgnextfmt=default&vgnextoid=3a1f32fa46a61910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,CURSOS Y TALLERES,"Del jueves 17 de octubre de 2024
al jueves 29 de mayo de 2025",Biblioteca Pública Municipal Gabriel García Márquez (Usera). USERA
Club de lectura (infantil) Biblioteca María Lejárraga,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Club-de-lectura-infantil-Biblioteca-Maria-Lejarraga/?vgnextfmt=default&vgnextoid=03cbf9ea99e61910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,"CLUBES DE LECTURA, 
            
            CURSOS Y TALLERES","Del jueves 24 de octubre de 2024
al jueves 19 de junio de 2025",Biblioteca Pública Municipal María Lejárraga (Hortaleza). HORTALEZA
Coder Dojo · Grupo de trabajo 2024-2025,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Coder-Dojo-Grupo-de-trabajo-2024-2025/?vgnextfmt=default&vgnextoid=8c98b60f928d2910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,CURSOS Y TALLERES,"Del sábado 16 de noviembre de 2024
al sábado 26 de julio de 2025",Matadero Medialab. ARGANZUELA
Taller de cómic (Infantil) Biblioteca José Hierro,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Taller-de-comic-Infantil-Biblioteca-Jose-Hierro/?vgnextfmt=default&vgnextoid=fcd9ecedfd123910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,CURSOS Y TALLERES,"Del lunes 25 de noviembre de 2024
al lunes 19 de mayo de 2025",Biblioteca Pública Municipal José Hierro (San Blas-Canillejas). SAN BLAS-CANILLEJAS
Clases de árabe para niños,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Clases-de-arabe-para-ninos/?vgnextfmt=default&vgnextoid=60ceedb3e8133910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,"CURSOS Y TALLERES, 
            
            IDIOMAS","Del viernes 13 de diciembre de 2024
al viernes 30 de mayo de 2025",Biblioteca Pública Municipal San Fermín (Usera). USERA
Taller de cómic (Infantil) Biblioteca María Zambrano,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Taller-de-comic-Infantil-Biblioteca-Maria-Zambrano/?vgnextfmt=default&vgnextoid=5c9ec45e58724910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,CURSOS Y TALLERES,"Del miércoles 8 de enero de 2025
al miércoles 4 de junio de 2025",Biblioteca Pública Municipal María Zambrano (Tetuán). TETUAN
Taller de cómic (Infantil) Biblioteca Miguel Delibes,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Taller-de-comic-Infantil-Biblioteca-Miguel-Delibes/?vgnextfmt=default&vgnextoid=ad3087ffb3f64910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,CURSOS Y TALLERES,"Del miércoles 15 de enero de 2025
al miércoles 21 de mayo de 2025",Biblioteca Pública Municipal Miguel Delibes (Moratalaz). MORATALAZ
Taller de cómic (juvenil) Biblioteca Gerardo Diego,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Taller-de-comic-juvenil-Biblioteca-Gerardo-Diego/?vgnextfmt=default&vgnextoid=1c7b5d06cd165910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,CURSOS Y TALLERES,"Del viernes 7 de febrero de 2025
al viernes 30 de mayo de 2025",Biblioteca Pública Municipal Gerardo Diego (Villa de Vallecas). VILLA DE VALLECAS
Chatines: club de lectura infantil,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Chatines-club-de-lectura-infantil/?vgnextfmt=default&vgnextoid=146e23279fad4910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,CLUBES DE LECTURA,"Del jueves 27 de febrero de 2025
al jueves 19 de junio de 2025",Biblioteca Pública Municipal Dámaso Alonso (Chamartín). CHAMARTIN
Taller de ajedrez avanzado (infantil-juvenil) Biblioteca María Lejárraga,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Taller-de-ajedrez-avanzado-infantil-juvenil-Biblioteca-Maria-Lejarraga/?vgnextfmt=default&vgnextoid=991163008c7c5910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,CURSOS Y TALLERES,"Del miércoles 19 de marzo de 2025
al miércoles 4 de junio de 2025",Biblioteca Pública Municipal María Lejárraga (Hortaleza). HORTALEZA
Manualidades,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Manualidades/?vgnextfmt=default&vgnextoid=3da790ec79b45910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,CURSOS Y TALLERES,"Del martes 25 de marzo de 2025
al martes 24 de junio de 2025",Biblioteca Pública Municipal Gabriel García Márquez (Usera). USERA
Talleres de Price (De 7 a 9 años),/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Talleres-de-Price-De-7-a-9-anos-/?vgnextfmt=default&vgnextoid=f981045e3fd15910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,CURSOS Y TALLERES,"Del sábado 29 de marzo de 2025
al sábado 14 de junio de 2025",Teatro Circo Price. ARGANZUELA
Talleres del Price (5 y 6 años),/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Talleres-del-Price-5-y-6-anos-/?vgnextfmt=default&vgnextoid=12a1045e3fd15910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,CURSOS Y TALLERES,"Del sábado 29 de marzo de 2025
al sábado 14 de junio de 2025",Teatro Circo Price. ARGANZUELA
HOP!,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/HOP-/?vgnextfmt=default&vgnextoid=95698cdcd77d5910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,CIRCO MAGIA,"Del domingo 20 de abril de 2025
al domingo 15 de junio de 2025",Teatro Circo Price. ARGANZUELA
Campamentos urbanos de verano 2025. Distrito Arganzuela,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Campamentos-urbanos-de-verano-2025-Distrito-Arganzuela/?vgnextfmt=default&vgnextoid=0f5297c7fe556910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,CAMPAMENTOS,"Del lunes 21 de abril de 2025
al viernes 5 de septiembre de 2025",Colegio Público Plácido Domingo. ARGANZUELA
Ronda de libros,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Ronda-de-libros/?vgnextfmt=default&vgnextoid=d2398cdcd77d5910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,Sin tipo,"Del sábado 26 de abril de 2025
al sábado 7 de junio de 2025",Matadero Madrid. ARGANZUELA
Talleres para niños de 4 a 14 años,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Talleres-para-ninos-de-4-a-14-anos/?vgnextfmt=default&vgnextoid=fe309f9cfb7b5910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,Sin tipo,"Del sábado 26 de abril de 2025
al sábado 28 de junio de 2025",Sin lugar
Campamento urbano de Semana Santa. Distrito Retiro,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Campamento-urbano-de-Semana-Santa-Distrito-Retiro/?vgnextfmt=default&vgnextoid=63144a9ad0e15910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,CAMPAMENTOS,"Del martes 29 de abril de 2025
al viernes 5 de septiembre de 2025",Colegio Público Ciudad de Roma. RETIRO
Campamento urbano Chamartín Verano 2025,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Campamento-urbano-Chamartin-Verano-2025/?vgnextfmt=default&vgnextoid=2f3ac7a730786910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,CAMPAMENTOS,"Del miércoles 30 de abril de 2025
al domingo 7 de septiembre de 2025",Sin lugar
Bulevarte 2025,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Bulevarte-2025/?vgnextfmt=default&vgnextoid=ee0797abaa766910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,"CUENTACUENTOS, TÍTERES Y MARIONETAS, 
            
            ACTIVIDADES CALLE, ARTE URBANO, 
            
            CURSOS Y TALLERES, 
            
            MÚSICA","Del jueves 1 de mayo de 2025
al jueves 31 de julio de 2025",Jardín del Bulevar de Peña Gorbea. PUENTE DE VALLECAS
Deportes populares y tradicionales para familias,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Deportes-populares-y-tradicionales-para-familias/?vgnextfmt=default&vgnextoid=c60bd1fe5a086910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,ACTIVIDADES DEPORTIVAS,"Del jueves 1 de mayo de 2025
al lunes 30 de junio de 2025",Sin lugar
Actividades por el día 2 de mayo,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Actividades-por-el-dia-2-de-mayo/?vgnextfmt=default&vgnextoid=1b55ced21c666910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,"FIESTAS, 
            
            CURSOS Y TALLERES",Viernes 2 de mayo de 2025,Auditorio Municipal al aire libre Lola Camarena. VILLA DE VALLECAS
Gran concurso de la maternidad en el mundo animal,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Gran-concurso-de-la-maternidad-en-el-mundo-animal/?vgnextfmt=default&vgnextoid=9eb630cd70266910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,CURSOS Y TALLERES,Viernes 2 de mayo de 2025,Centro de Educación Ambiental y Cultural Maris Stella (Usera). USERA
Érase una vez un pato - Teatro La Proa (Cuba),/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Erase-una-vez-un-pato-Teatro-La-Proa-Cuba-/?vgnextfmt=default&vgnextoid=3d89bf4aebf85910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,"CUENTACUENTOS, TÍTERES Y MARIONETAS, 
            
            MADRID DESTINO","Del sábado 3 de mayo de 2025
al domingo 4 de mayo de 2025",Teatro Municipal de Títeres. Parque de El Retiro. RETIRO
Womagis,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Womagis/?vgnextfmt=default&vgnextoid=e6ee826e66266910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,TEATRO PERFOMANCE,Sábado 3 de mayo de 2025,Centro Cultural Casa de Vacas (Retiro). RETIRO
REUTILIZ-ARTE: Mayo el mes de las flores,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/REUTILIZ-ARTE-Mayo-el-mes-de-las-flores/?vgnextfmt=default&vgnextoid=5978cbdaa1266910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,"CUENTACUENTOS, TÍTERES Y MARIONETAS, 
            
            ACTIVIDADES CALLE, ARTE URBANO, 
            
            DANZA Y BAILE, 
            
            ITINERARIOS Y OTRAS ACTIVIDADES AMBIENTALES, 
            
            ACTIVIDADES DEPORTIVAS, 
            
            CINE ACTIVIDADES AUDIOVISUALES, 
            
            CURSOS Y TALLERES, 
            
            MÚSICA, 
            
            TEATRO PERFOMANCE, 
            
            EXCURSIONES ITINERARIOS VISITAS, 
            
            EXPOSICIONES, 
            
            CONFERENCIAS Y COLOQUIOS, 
            
            CONGRESOS Y JORNADAS",Sábado 3 de mayo de 2025,Centro de Educación Ambiental y Cultural Maris Stella (Usera). USERA
La magia existe,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/La-magia-existe/?vgnextfmt=default&vgnextoid=fd491dc120866910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,"ACTIVIDADES CALLE, ARTE URBANO, 
            
            CIRCO MAGIA",Sábado 3 de mayo de 2025,Parque de Amós Acero. PUENTE DE VALLECAS
Ludoteca,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Ludoteca/?vgnextfmt=default&vgnextoid=7b9d3a03802e2910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,CURSOS Y TALLERES,"Del sábado 3 de mayo de 2025
al sábado 31 de mayo de 2025",Centro Sociocultural Alfonso XII (Fuencarral - El Pardo). FUENCARRAL-EL PARDO
Títeres: El barquillero de la pradera de San Isidro,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Titeres-El-barquillero-de-la-pradera-de-San-Isidro/?vgnextfmt=default&vgnextoid=475c9822df145910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,"CUENTACUENTOS, TÍTERES Y MARIONETAS",Sábado 3 de mayo de 2025,Centro Cultural Alfredo Kraus (Fuencarral - El Pardo). FUENCARRAL-EL PARDO
Ludotecas,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Ludotecas/?vgnextfmt=default&vgnextoid=0a2523aaeab76910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,CURSOS Y TALLERES,"Del sábado 3 de mayo de 2025
al sábado 31 de mayo de 2025",Centro Sociocultural Valverde (Fuencarral - El Pardo). FUENCARRAL-EL PARDO
Sendas Guiadas,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Sendas-Guiadas/?vgnextfmt=default&vgnextoid=fcf15bebd58d2910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,"ITINERARIOS Y OTRAS ACTIVIDADES AMBIENTALES, 
            
            EXCURSIONES ITINERARIOS VISITAS","Del sábado 3 de mayo de 2025
al sábado 31 de mayo de 2025",Centro de Interpretación de la Naturaleza Montecarmelo (Fuencarral - El Pardo). FUENCARRAL-EL PARDO
Talleres Familiares,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Talleres-Familiares/?vgnextfmt=default&vgnextoid=5df152544dd2f810VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,"ITINERARIOS Y OTRAS ACTIVIDADES AMBIENTALES, 
            
            CURSOS Y TALLERES","Del sábado 3 de mayo de 2025
al sábado 31 de mayo de 2025",Centro de Interpretación de la Naturaleza Montecarmelo (Fuencarral - El Pardo). FUENCARRAL-EL PARDO
Crispina y Molinilla,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Crispina-y-Molinilla/?vgnextfmt=default&vgnextoid=8fbb1dc120866910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,"CUENTACUENTOS, TÍTERES Y MARIONETAS",Domingo 4 de mayo de 2025,Centro Cultural El Pozo del tío Raimundo (Puente de Vallecas). PUENTE DE VALLECAS
"Era casi, casi, una vez",/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Era-casi-casi-una-vez/?vgnextfmt=default&vgnextoid=9eff399bedb66910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,"CUENTACUENTOS, TÍTERES Y MARIONETAS, 
            
            TEATRO PERFOMANCE",Domingo 4 de mayo de 2025,Centro Cultural Antonio Machado (San Blas - Canillejas). SAN BLAS-CANILLEJAS
¿Un Grúfa qué?,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Un-Grufa-que-/?vgnextfmt=default&vgnextoid=681ed31eff666910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,"CUENTACUENTOS, TÍTERES Y MARIONETAS",Domingo 4 de mayo de 2025,Sin lugar
Cabaret ovejuno,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Cabaret-ovejuno/?vgnextfmt=default&vgnextoid=e4ee234abc586910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,"CUENTACUENTOS, TÍTERES Y MARIONETAS",Domingo 4 de mayo de 2025,Centro Cultural Carril del Conde (Hortaleza). HORTALEZA
El pirata Serafín,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/El-pirata-Serafin/?vgnextfmt=default&vgnextoid=cf1019e695416910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,"CUENTACUENTOS, TÍTERES Y MARIONETAS",Domingo 4 de mayo de 2025,Centro Cultural Hortaleza. HORTALEZA
"Exposición ""Fervor""",/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Exposicion-Fervor-/?vgnextfmt=default&vgnextoid=5539d5ca38086910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,"TEATRO PERFOMANCE, 
            
            EXPOSICIONES","Del lunes 5 de mayo de 2025
al jueves 15 de mayo de 2025",Centro Cultural Galileo (Chamberí). CHAMBERI
'A jugar con los libros',/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/-A-jugar-con-los-libros-/?vgnextfmt=default&vgnextoid=7e93528353436910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,"CUENTACUENTOS, TÍTERES Y MARIONETAS",Martes 6 de mayo de 2025,Biblioteca Pública Municipal La Elipa (Ciudad Lineal). CIUDAD LINEAL
Un mundo de cuentos,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Un-mundo-de-cuentos/?vgnextfmt=default&vgnextoid=971796d505336910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,"CUENTACUENTOS, TÍTERES Y MARIONETAS",Martes 6 de mayo de 2025,Biblioteca Pública Municipal Ana María Matute (Carabanchel). CARABANCHEL
Desafíos globales que definirán nuestro futuro: la UE en la encrucijada,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Desafios-globales-que-definiran-nuestro-futuro-la-UE-en-la-encrucijada/?vgnextfmt=default&vgnextoid=50232ce8b3086910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,CONFERENCIAS Y COLOQUIOS,Martes 6 de mayo de 2025,Centro Cultural Zazuar (Villa de Vallecas)
A taste of the moon,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/A-taste-of-the-moon/?vgnextfmt=default&vgnextoid=2c4e528353436910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,"CUENTACUENTOS, TÍTERES Y MARIONETAS",Miércoles 7 de mayo de 2025,Biblioteca Pública Municipal José Hierro (San Blas-Canillejas). SAN BLAS-CANILLEJAS
