título,descripción,edad,inscripción,periodicidad,día_días,horario,fecha,lugar_nombre,lugar_dirección,precio,recomendación,url_ampliar_info,url_actividad
HOP!,Los Absurdos Teatro nos traen un paseo teatralizado por la historia del Circo Price.,sus anécdotas y su importancia como centro cultural del Madrid de los últimos 150 años,No especificada,No especificada,No especificado,Horario: comienzo de la visita a las 11 horas,Sin fecha,Teatro Circo Price,"RONDA ATOCHA, 35 28012 MADRID",No especificado,Recomendado para niñas y niños,No disponible,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/HOP-/?vgnextfmt=default&vgnextoid=95698cdcd77d5910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
"Fiesta de pijamas para peluches, muñecas y muñecos. ¡Fin de semana en la Biblioteca!","¿Quieres saber qué haría tu peluche o muñeco/a favorito/a en la Biblioteca, cuando cierre al público, todo el fin de semana?",Para niñas y niños hasta 14 años,Inscripciones en el mostrador de la biblioteca,No especificada,No especificado,No especificado,Del lunes 21 de abril de 2025 al viernes 25 de abril de 2025,Biblioteca Pública Municipal Francisco Ayala (Vicálvaro),"BULEVAR INDALECIO PRIETO, 21 28032 MADRID",Gratuito,Recomendado para niñas y niños,No disponible,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Fiesta-de-pijamas-para-peluches-munecas-y-munecos-Fin-de-semana-en-la-Biblioteca-/?vgnextfmt=default&vgnextoid=cac159ad2a006910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Campamentos urbanos de verano 2025. Distrito Arganzuela,"Se realizarán actividades de ocio lúdico-educativas, incluyendo los servicios de desayuno y comida. La actividad será gratuita y se ofertarán 240 plazas durante el mes de julio y 150 plazas durante los días de junio y 180 plazas por centro durante el mes de agosto y septiembre. En total 1.170 plazas durante todo el verano.",Niños y niñas de 4 años a 12 años,No especificada,No especificada,domingo,30 a 9 horas: horario de acogida,Sin fecha,Colegio Público Plácido Domingo,"CALLE TEJO, 5 28045 MADRID",Gratuito,Recomendado para niñas y niños,No disponible,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Campamentos-urbanos-de-verano-2025-Distrito-Arganzuela/?vgnextfmt=default&vgnextoid=0f5297c7fe556910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Entrega de premios,En este acto haremos la entrega de premios a las ganadoras y ganadores de los concursos:,No especificada,No especificada,No especificada,No especificado,Martes 22 de abril de 2025 a las 18 horas,Martes 22 de abril de 2025 a las 18 horas,Biblioteca Pública Municipal San Blas (San Blas-Canillejas),"CALLE SAN ROMAN DEL VALLE, 8 (CENTRO CULTURAL ANTONIO MACHADO) 28037 MADRID",Gratuito,Recomendado para niñas y niños,No disponible,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Entrega-de-premios/?vgnextfmt=default&vgnextoid=07bb57fd86c55910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Taller Día del Libro (Cuentos y manualidad),"Como el día 23 de abril es el Día de Libro, vamos a celebrarlo juntos el día 22.",Para niñas y niños de 5 a 8 años,El proceso de inscripción finaliza el 22/04/2025,No especificada,No especificado,Martes 22 de abril de 2025 a las 18 horas,El proceso de inscripción finaliza el 22/04/2025,Biblioteca Pública Municipal Canillejas (San Blas-Canillejas),"CALLE BOLTAÑA, 23 (EN CENTRO CULTURAL BUERO VALLEJO) 28022 MADRID",Gratuito,Recomendado para niñas y niños,No disponible,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Taller-Dia-del-Libro-Cuentos-y-manualidad-/?vgnextfmt=default&vgnextoid=e8a4d5eb73516910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Presentación y Recital de Poesía. Mapa de corazonadas,"Recital de poesía y presentación del libro Mapa de corazonadas, de Carlos Llorente Toledo.",No especificada,No especificada,No especificada,No especificado,Martes 22 de abril de 2025 a las 19 horas,Martes 22 de abril de 2025 a las 19 horas,Centro Cultural Puerta de Toledo (Centro),"AVENIDA GRAN VIA DE SAN FRANCISCO, 2 MADRID",Gratuito,Recomendado para niñas y niños,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Actividades-en-el-Centro-Cultural-Puerta-de-Toledo/?vgnextfmt=default&vgnextoid=8d42fd00f7902910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Presentacion-y-Recital-de-Poesia-Mapa-de-corazonadas/?vgnextfmt=default&vgnextoid=c8729125a23a5910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
"La Hora del Cuento : ""El lobo que se cayó de un libro"" y ""El Oso que amaba los libros""","La hora del cuento es una actividad que tiene lugar en nuestra Biblioteca un martes de cada mes, donde los más peques de la casa, podrán participar de un cuentacuentos que generalmente se acompañara de actividades.",A partir de 3 años,No especificada,No especificada,martes,Martes 22 de abril de 2025 a las 17:30 horas,Martes 22 de abril de 2025 a las 17:30 horas,Biblioteca Pública Municipal Manuel Vázquez Montalbán (Tetuán),"CALLE FRANCOS RODRIGUEZ, 67 MADRID",Gratuito,Recomendado para niñas y niños,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Cuentacuentos-del-21-al-27-de-abril/?vgnextfmt=default&vgnextoid=e08d8f8c825d9810VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/La-Hora-del-Cuento-El-lobo-que-se-cayo-de-un-libro-y-El-Oso-que-amaba-los-libros-/?vgnextfmt=default&vgnextoid=9c80a1b80d426910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
'El secreto de los cuentos',"Duendes, tesoros, aventuras, misterios... Las bibliotecas están llenas de historias que cuenteros y cuenteras nos acercan a través de su creatividad y su magia.",Este cuento está pensado para niñas y niños a partir de 3 años,Para asistir es necesario realizar inscripción previa a través de este enlace.,No especificada,No especificado,Martes 22 de abril de 2025 a las 18 horas,Martes 22 de abril de 2025 a las 18 horas,Biblioteca Pública Municipal Francisco Ibáñez (Chamartín),"CALLE MANTUANO, 51 MADRID",Gratuito,Recomendado para niñas y niños,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Cuentacuentos-del-21-al-27-de-abril/?vgnextfmt=default&vgnextoid=e08d8f8c825d9810VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/-El-secreto-de-los-cuentos-/?vgnextfmt=default&vgnextoid=db686ab5d26f5910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
'La máscara del león',Ven a la biblioteca a escuchar su historia y la de otros encantadores personajes que salen de paseo cuando llega la hora del cuento.,Para niños y niñas a partir de 4 añosInscripción a través de formulario,Para niños y niñas a partir de 4 añosInscripción a través de formulario.. Inscripción a través de formulario. (Hasta el 21 de abril),No especificada,No especificado,Martes 22 de abril de 2025 a las 18 horas,Martes 22 de abril de 2025 a las 18 horas,Biblioteca Pública Municipal Ana María Matute (Carabanchel),"CALLE ISAAC ALBENIZ, 1 MADRID",Gratuito,Recomendado para niñas y niños,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Cuentacuentos-del-21-al-27-de-abril/?vgnextfmt=default&vgnextoid=e08d8f8c825d9810VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/-La-mascara-del-leon-/?vgnextfmt=default&vgnextoid=fcefdbca8c516910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Actividad familiar: JUEGOS DE ROL,"El día 23 de abril celebramos el día del Libro con unos emocionantes JUEGOS DE ROL, destinados a niñas y niños de 6 a 15 años, y de 16 años en adelante",destinados a niñas y niños de 6 a 15 años,Inscríbete en este enlace,No especificada,No especificado,Miércoles 23 de abril de 2025 a las 17 horas,Miércoles 23 de abril de 2025 a las 17 horas,Biblioteca Pública Municipal Gerardo Diego (Villa de Vallecas),"CALLE MONTE AYA, 12 28031 MADRID",Gratuito,Recomendado para niñas y niños,No disponible,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Actividad-familiar-JUEGOS-DE-ROL/?vgnextfmt=default&vgnextoid=f8913e06256f5910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Presentación del libro La bamda y el cuadro siberiano,De María Jesús Rodriguez Costa.,A partir de 6 años,No especificada,No especificada,No especificado,Miércoles 23 de abril de 2025 a las 17:30 horas,Miércoles 23 de abril de 2025 a las 17:30 horas,Centro Cultural Huerta de la Salud (Hortaleza),"CALLE MAR DE LAS ANTILLAS, 8 MADRID",Gratuito,Recomendado para niñas y niños,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Actividades-en-el-Centro-Cultural-Huerta-de-la-Salud/?vgnextfmt=default&vgnextoid=0d3923f64f68d610VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Presentacion-del-libro-La-bamda-y-el-cuadro-siberiano/?vgnextfmt=default&vgnextoid=ef9c901b5b516910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
'¿Tu mono quiere un plátano?',Sin descripción,Paula Sánchez Arévalo fue bailarina con el Nederland DansTheater de los Países Bajos durante 17 años,No especificada,No especificada,No especificado,Miércoles 23 de abril de 2025 a las 18 horas,Miércoles 23 de abril de 2025 a las 18 horas,Biblioteca Pública Municipal Eugenio Trías. Casa de Fieras de El Retiro (Retiro),"PASEO FERNÁN NÚÑEZ, 24 MADRID",Gratuito,Recomendado para niñas y niños,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Cuentacuentos-del-21-al-27-de-abril/?vgnextfmt=default&vgnextoid=e08d8f8c825d9810VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/-Tu-mono-quiere-un-platano-/?vgnextfmt=default&vgnextoid=d795dbca8c516910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Taller especial 'Día del Libro',"El miércoles 23 de abril os invitamos a nuestro TALLER ESPECIAL DÍA DEL LIBRO, donde podreis disfrutar del cuento ""Los fantásticos libros voladores del Sr. Morris Lessmore"" y además aprender a hacer tus propias agendas y marcapáginas.",A partir de 4 años,No especificada,No especificada,miércoles,Miércoles 23 de abril de 2025 a las 17 horas,Miércoles 23 de abril de 2025 a las 17 horas,Biblioteca Pública Municipal Manuel Vázquez Montalbán (Tetuán),"CALLE FRANCOS RODRIGUEZ, 67 28039 MADRID",Gratuito,Recomendado para niñas y niños,No disponible,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Taller-especial-Dia-del-Libro-/?vgnextfmt=default&vgnextoid=ec37cf89a0436910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Lectura pública del Quijote para niños y mayores,Horarios: de 11 a 12 horas y de 16:30 a 18:30 horas,No especificada,No especificada,No especificada,No especificado,Horarios: de 11 a 12 horas y de 16:30 a 18:30 horas,Miércoles 23 de abril de 2025,Sin lugar,Sin dirección,Gratuito,Recomendado para niñas y niños,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/IV-Feria-del-libro-de-Arganzuela-2025/?vgnextfmt=default&vgnextoid=8ccf469921be5910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Lectura-publica-del-Quijote-para-ninos-y-mayores/?vgnextfmt=default&vgnextoid=a3c4aa4735436910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Obra literaria infantil: La tierra de Jauja,"Honzigera y Panarizo, dos ladrones hambrientos, deciden asaltar a Mendrugo, un labrador que lleva comida a su esposa en la cárcel. Con astucia, engañan a Mendrugo hablándole sobre la fantástica Tierra de Jauja, un lugar utópico donde la comida abunda y está prohibido trabajar. Aprovechando la distracción de Mendrugo, Honzigera se zambulle en la cazuela de buñuelos, devorando rápidamente todo el manjar. Mendrugo, desconcertado, comprende que esa tierra es sólo una ilusión y que la felicidad no proviene de promesas ficticias. Quedando solo, y sin nada, se culpa a sí mismo por haber creído en fantasías, aprendiendo de la lección.",No especificada,No especificada,No especificada,No especificado,Miércoles 23 de abril de 2025 a las 12:30 horas,Miércoles 23 de abril de 2025 a las 12:30 horas,Sin lugar,Sin dirección,Gratuito,Recomendado para niñas y niños,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/IV-Feria-del-libro-de-Arganzuela-2025/?vgnextfmt=default&vgnextoid=8ccf469921be5910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Obra-literaria-infantil-La-tierra-de-Jauja/?vgnextfmt=default&vgnextoid=00d4aa4735436910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
